Category,Indicator,Variable,Units,Statistic,Scale
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue pharmacy' (custom destination) (population weighted),pop_pct_access_walk_denue_pharmacy_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue finance comms' (custom destination) (population weighted),pop_pct_access_walk_denue_finance_comms_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue preschool' (custom destination) (population weighted),pop_pct_access_walk_denue_preschool_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue primary school' (custom destination) (population weighted),pop_pct_access_walk_denue_primary_school_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue secondary school' (custom destination) (population weighted),pop_pct_access_walk_denue_secondary_school_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue tertiary education' (custom destination) (population weighted),pop_pct_access_walk_denue_tertiary_education_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue primary healthcare' (custom destination) (population weighted),pop_pct_access_walk_denue_primary_healthcare_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue medical clinic' (custom destination) (population weighted),pop_pct_access_walk_denue_medical_clinic_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue hospital' (custom destination) (population weighted),pop_pct_access_walk_denue_hospital_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue care support' (custom destination) (population weighted),pop_pct_access_walk_denue_care_support_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue childcare' (custom destination) (population weighted),pop_pct_access_walk_denue_childcare_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue community' (custom destination) (population weighted),pop_pct_access_walk_denue_community_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue culture' (custom destination) (population weighted),pop_pct_access_walk_denue_culture_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue sport' (custom destination) (population weighted),pop_pct_access_walk_denue_sport_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue recreation' (custom destination) (population weighted),pop_pct_access_walk_denue_recreation_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue employment any' (custom destination) (population weighted),pop_pct_access_walk_denue_employment_any_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue employer medium' (custom destination) (population weighted),pop_pct_access_walk_denue_employer_medium_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue manufacturing' (custom destination) (population weighted),pop_pct_access_walk_denue_manufacturing_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_essentials_local_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_essentials_complete_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_health_all_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_civic_all_1000m,percent,percentage,city
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category (population weighted),pop_pct_access_walk_activity_centre_jobs_local_1000m,percent,percentage,city
